Pesticide,Year Updated,CAS number,Acute1,Chronic2,Acute3,Chronic4,Acute5,Acute6,"Maximum 				Concentration 				(CMC)","Continuous 				Concentration 				(CCC)"
Bensulfuron-methyl,2018,83055-99-6, , , , ,7.8,8.3, , 
Benzobicyclon,2018,156963-66-5,> 240.5,19.2,> 184,83.8,162,1.475, , 
Benzobicyclon degradate Metabolite B,2018,126656-88-0,> 240.5,2.3,> 62500,61700, , , , 
Bifenazate degradate D-1989,2018, , , ,121, , , , , 
Bifenazate degradate D-9472,2018, ,100.5, ,382, ,901.7, , , 
Bifenazate degradate D3598,2018, ,22.8, ,27.75, ,745.3, , , 
Chlorimuron-ethyl,2018,90982-32-4, , , , ,0.77,0.27, , 
Cyclaniliprole,2018,1031756-98-5,> 68.5,200,40.4,9.6,> 99,> 187, , 
Cyclaniliprole degradate NK-1375,2018, , , ,> 27.15, , , , , 
Cyclaniliprole degradate NU-356,2018, , , ,> 12200, , , , , 
Cyclaniliprole degradate TJ-537,2018, , , ,188, , , , , 
Flazasulfuron,2018,104040-78-0, , , , ,4.1,0.076, , 
Florpyrauxifen-benzyl degradate Nitro-Hydroxy Acid X12483137,2018, ,> 4800, ,> 5000, , , , , 
Flufenacet,2018,142459-58-3,1130,75,1400,6300,2.9,2.45, , 
Flufenacet degradate thiadone,2018,84352-75-0,4200, ,15850, ,6400,10340, , 
Glufosinate,2018,77182-82-2,> 156000,50000,325500,31000,72,1470, , 
Halosulfuron-methyl,2018,100784-20-1, , , , ,4.1,0.042, , 
Metsulfuron-methyl,2018,74223-64-6, , , , ,31,0.36, , 
Pirimiphos-methyl,2018,029232-93-7,200, ,0.055, , , , , 
Primisulfuron-methyl,2018,86209-51-0, , , , ,98,0.8, , 
Prosulfuron,2018,94125-34-5, , , , ,10.6,1.22, , 
Pyriofenone,2018,688046-61-9,> 575,403,>,89.2,> 1660,> 1570, , 
Sulfometuron-methyl,2018,74222-97-2, , , , ,4.3,4.5, , 
Tioxazafen,2018,330459-31-9,45.5,9.4,> 600,5.9,125,> 954, , 
Tioxazafen degradate 3-Theinyl 102100 (MON 102130),2018, ,18.5, ,415, , , , , 
Tolpyralate,2018,1101132-67-5,> 9500,303,> 9750,8960,232,6.67, , 
Tolpyralate degradate MMTA,2018, ,> 50500, ,> 50500, ,37100,> 98900, , 
Tolpyralate degradate MT-2153,2018, ,> 53500, ,> 52000, ,2400,2.14, , 
Tribenuron-methyl,2018,101200-48-0, , , , ,22,2, , 
Trifloxysulfuron-Na,2018,199119-58-9, , , , ,5.6,0.24, , 
1-Naphthalene acetic acid (NAA),2017, ,90.02, ,90000, , ,5100, , 
Alpha-Chlorohydrin,2017,96-24-2,2103500, ,486000, , , , , 
Aquashade,2017,1934-21-0,> 48000, ,> 48500, , , , , 
d-Limonene,2017,5989-27-5,40000, ,19500, ,9353,29650, , 
Dipropyl isocinchomeronate,2017,136-45-8,220, ,9000, , , , , 
Fenoxaprop-p-ethyl Degradate [AE F096918],2017,71283-80-2,159000,31000,> 92800,< 310,14000, , , 
Fenoxaprop-p-ethyl Degradate Chlorobenzoxazolone [AE F054014],2017,71283-80-2,> 5000, ,3300, ,7500, , , 
Fenoxaprop-p-ethyl Degradate Fenoxaprop-p acid (AE F088406),2017,71283-80-2,> 34400,1800,7100,340,44000, , , 
Florpyrauxifen-benzyl,2017,1390661-72-9,> 24.5,37.3,> 20.95,38.5,> 51.3,0.0162, , 
Halauxifen-methyl,2017,943831-98-9,1005,22,1060,144,1280,0.135, , 
Halauxifen-methyl X11406790 degradate,2017,943831-98-9,> 14500, ,> 12500, ,1830,> 100, , 
Halauxifen-methyl X11449757 degradate,2017,943831-98-9,> 62000,8900,> 57500, ,5280,> 100, , 
Halauxifen-methyl XDE-729 acid degradate,2017,943832-60-8,> 53500,11800,> 53000,98300,23200,0.58, , 
Imidacloprid guanidine degradate,2017,138261-41-3, , ,28000, , , , , 
Imidacloprid urea degradate,2017,138261-41-3, , ,> 47400, , , , , 
Nithiazine,2017,58842-20-9,58500, ,16925, , , , , 
Saflufenacil,2017,372137-35-4,> 54000,997,4250,1330,42,87, , 
Silica Gel,2017,63231-67-4, , , , , , , , 
Silicon Dioxide,2017,7631-86-9, , , , , , , , 
Tetrachlorvinphos,2017,961-11-5,265,47,0.95,0.125,3200,> 4625, , 
Tetraconazole,2017,112281-77-3,1925,300,1315,190, ,310, , 
Triptolide,2017,38748-32-2,180, , , , , , , 
"2,4-D",2016,94-75-7, , ,12500, , ,299.2, , 
"2,4-D acids and salts",2016,94-75-7,> 40800,23600,12500,16050,3880,299.2, , 
"2,4-D esters",2016, ,130,79.2,1100,200,152,330, , 
"2,4-D, 2-ethylhexyl ester",2016,1928-43-4, ,79.2,1700, ,152,330, , 
"2,4-D, Butoxyethyl ester",2016,1929-73-3,214, , ,200, , , , 
"2,4-D, Diethanolamine salt",2016,5742-19-8,> 40800, , ,16050, ,299.2, , 
"2,4-D, Dimethylamine salt",2016,2008-39-1, ,23600, , ,3880, , , 
"2,4-D, Isopropyl ester",2016,94-11-1,130, ,1100, , , , , 
Acetamiprid,2016,135410-20-7,> 50000,19200,10.5,2.1,> 1000,> 1000, , 
Acetic acid,2016,64-19-7,151500, ,32500, , ,844300, , 
Acetochlor degradate ethanesulfonic acid (ESA),2016,187022-11-3,> 90000, ,> 62500, ,9900, , , 
Alachlor,2016,15972-60-8,900,187,1250,110,1.64,2.3, , 
Aldicarb,2016,116-06-3,26,78,10,20,> 50000,> 88700, , 
Aldicarb sulfone,2016,1646-88-4,21000, ,140, , , , , 
Aldicarb sulfoxide,2016,1646-87-3,3570, ,21.5, , , , , 
Aminocyclopyrachlor acid,2016,858956-08-8,> 60000,11000,19850,< 370,7400,> 122000, , 
Aminocyclopyrachlor ester,2016, ,6500, ,9950, , , , , 
Amitraz,2016,33089-61-1,170,> 1.5,17.5,1.1, , , , 
Amitraz BTS 27271,2016,33089-61-1,14200, ,1295, , , , , 
Amitraz BTS 27919,2016,33089-61-1,33100, ,> 50000, , , , , 
Ammonium Salts of Fatty Acids,2016, ,6000, ,13500,23000,6600,200000, , 
Asulam sodium,2016,2302-17-2,> 87500, ,13550, ,180,140, , 
Azoxystrobin,2016,131860-33-8,235,147,130,44,49,3400, , 
Benfluralin,2016,1861-40-1,34.85,1.9,1090,15.5,> 100, , , 
Benzovindiflupyr,2016,1072957-71-1,1.75,0.95,42.5,5.6,240,> 880, , 
Benzovindiflupyr degradate M700F001,2016,1072957-71-1,> 44050, ,> 49100, , , , , 
Benzovindiflupyr degradate SYN546039,2016,1072957-71-1,1250, ,2725, ,> 6400, , , 
Bicyclopyrone,2016,352010-68-5,> 46700,10000,> 46650,103700,2000,13, , 
"Bicyclopyrone degradate CSAA589691 ((1S,3R)-cyclopentane-1,3-dicarboxylic acid)",2016,876-05-1, , , , , ,> 90280, , 
"Bicyclopyrone degradate CSCC163768 (6-(trifluoromethyl)pyridine-2,3-dicarboxylic acid)",2016,90376-94-6, , , , , ,> 100250, , 
Bifenazate,2016,149877-41-8,290, ,250,150,890,> 3820, , 
"Bifenazate degradate 2-[4-methoxy(1,1’-biphenyl)-3-yl],1-methylethyl ester (D3598)",2016,149877-41-8,22.8, ,27.75, ,745.3, , , 
Bifenthrin,2016,82657-04-3,0.075,0.04,0.8,0.0013, , , , 
Bromoxynil heptanoate,2016,56634-95-8,14.5, ,15.5, , ,219, , 
Bromoxynil phenol,2016,1689-84-5,1050, ,9610, , , , , 
"Bromoxynil, referred to as Bromoxynil phenol",2016,1689-84-5,1050, ,7955, , , , , 
Carboxin,2016,5234-68-4,600, ,42200, ,370,670, , 
Chlorfenapyr,2016,122453-73-0,3.72,3.68,2.915,3.57, , , , 
Chlorfenapyr Metabolite CL303094,2016, , , ,280, , , , , 
Chlorfenapyr Metabolite CL303195,2016, , , ,850, , , , , 
Chlorfenapyr Metabolite CL303267,2016,122454-23-3,35, ,53.5, , , , , 
Chlorfenapyr Metabolite CL312094,2016,122453-73-0,> 464, , , , , , , 
Chlorfenapyr Metabolite CL325195,2016,122453-73-0,1050, , , , , , , 
Chlorpyrifos,2016,2921-88-2,0.9,0.57,0.05,0.04,140, ,0.083,0.041
Chlorpyrifos-methyl,2016,5598-13-0,7, ,0.085, , , , , 
Clopyralid,2016,1702-17-6,51750, ,116500, ,6900, , , 
Clothianidin,2016,210880-92-5,> 50750,9700,11,0.05,64000,> 280000, , 
Coumaphos,2016,56-72-4,170,11.7,0.037,0.0337, ,166, , 
