"Chemical Name","CAS Registry Number®a","USGS Parameter Code(s)","Chemical Class","MCL (µg/L) b ","Chronic Noncancer HHBP  (µg/L) c,d ","Carcinogenic HHBP (10-6 to 10-4) (µg/L) c,d ","Noncancer HBSL (µg/L) d,e ","Cancer HBSL (10-6 to 10-4) (µg/L) d,e ","Benchmark Remarks "
"1,4-Naphthoquinone","130-15-4","61611","Pesticide degradate","","","","","","NAV"
"1-Naphthol","90-15-3","49295, 77441","Pesticide degradate","","","","","","NAV; Metabolite of carbaryl CASRN 63252"
"1H-1,2,4-Triazole","288-88-0","68498","Pesticide degradate","","30","","","",""
"2,3,3-Trichloro-2-propene-1-sulfonic acid (TCPSA)","65600-62-6","61670, 68691","Pesticide degradate","","","","","","NAV; TCPSA is a metabolite of triallate CASRN 2303175"
"2,5-Dichloroaniline","95-82-9","61614","Pesticide degradate","","","","","","NAV"
"2,6-Dichlorobenzamide","70852-53-8","52656","Pesticide degradate","","29","","","",""
"2,6-Diethylaniline","579-66-8","82660","Pesticide degradate","","","","","","NAV; Degradate (DEA) of alachlor CASRN 15972608"
"2-(1-Hydroxyethyl)-6-methylaniline","196611-19-5","68611","Pesticide degradate","","","","","","NAV; Metabolite (HEMA) of acetochlor CASRN 34256821"
"2-(4-tert-butylphenoxy)-cyclohexanol","1942-71-8","61637","Pesticide degradate","","","","","","NAV; Degradate of propargite CASRN 2312358"
"2-Amino-N-isopropylbenzamide","30391-89-0","61617, 68503","Pesticide degradate","","","","","","NAV; metabolite (AIBA) of bentazon CASRN 25057890"
"2-Aminobenzimidazole","934-32-7","68502","Pesticide degradate","","","","","","NAV; metabolite (2-AB) of thiophanate-methyl (not in db, CASRN 23564-05-8) and carbendazim (CASRN 10605-21-7)"
"2-Chloro-2',6'-diethylacetanilide","6967-29-9","61618, 68525","Pesticide degradate","","","","","","NAV; degradate (Compound II) of alachlor CASRN 15972608"
"2-Chloro-N-(2-ethyl-6-methylphenyl)acetamide","32428-71-0","63782, 68521","Pesticide degradate","","","","","","NAV"
"2-Ethyl-6-methylaniline","24549-06-2","61620","Pesticide degradate","","","","","","NAV; metabolite (acronym EMA) of acetochlor CASRN 34256821"
"2-Hydroxy-4-isopropylamino-6-amino-s-triazine","19988-24-0","62676, 68659","Pesticide degradate","","","","","","NAV; degradate (synonym deethylhydroxyatrazine or DEHA) of atrazine CASRN 1912249"
"2-Hydroxy-6-ethylamino-4-amino-s-triazine","7313-54-4","62678, 68656","Pesticide degradate","","","","","","NAV; degradate (synonym deisopropylhydroxyatrazine or DIHA) of atrazine CASRN 1912249"
"2-Hydroxyatrazine","2163-68-0","34761, 50355, 68660","Pesticide degradate","","60","","","",""
"2-Isopropyl-6-methyl-4-pyrimidinol","2814-20-2","68505","Pesticide degradate","","","","","","NAV; Degradate of diazinon CASRN 333415"
"2-[(2-Ethyl-6-methylphenyl)amino]-1-propanol","61520-53-4","61615, 68595","Pesticide degradate","","","","","","NAV; Metabolite (CGA-37913) of metolachlor CASRN 51218452"
"3,4-Dichloroaniline","95-76-1","61625","Pesticide degradate","","","","","","NAV; Metabolite (3,4-DCA) of propanil CASRN 709988"
"3,4-Dichlorophenylurea","2327-02-8","68226","Pesticide degradate","","","","","","NAV; Degradate (acronym DCPU) of diuron CASRN 330541"
"3,5-Dichloroaniline","626-43-7","61627","Pesticide degradate","","","","","0.5-50","Metabolite (3,5-DCA) of iprodione CASRN 36734197"
"3-(4-chlorophenyl)-1-methyl urea","5352-88-5","61692","Pesticide degradate","","","","","","NAV"
"3-(Trifluoromethyl)-phenyl urea","13114-87-9","61741","Pesticide degradate","","","","","","NAV; Metabolite of fluometuron CASRN 2164172"
"3-Hydroxycarbofuran","16655-82-6","49308, 68508, 82584","Pesticide degradate","","","","","","NAV; Metabolite of carbofuran CASRN 1563662"
"3-Keto-carbofuran","16709-30-1","50295","Pesticide degradate","","","","","","NAV; Metabolite of carbofuran CASRN 1563662"
"3-Phenoxybenzoic acid","3739-38-6","68873","Pesticide degradate","","","","","","NAV; Degradate (acronym 3-PBA) of cyhalothrin CASRN 91465086, lambda-cyhalothrin CASRN 91465086"
"3-Phenoxybenzyl alcohol","13826-35-2","61629","Pesticide degradate","","","","","","NAV; Metabolite of permethrin CASRN 52645531"
"3-Trifluoromethylaniline","98-16-8","61630, 61742","Pesticide degradate","","","","","","NAV; Metabolite (TFMA, CGA-72903) of fluometuron CASRN 2164172"
"4,4'-Dichlorobenzophenone","90-98-2","61631","Pesticide degradate","","","","","","NAV"
"4-(Hydroxymethyl)pendimethalin","56750-76-6","61665, 68511","Pesticide degradate","","","","","","NAV; Metabolite (CL 202347) of pendimethalin CASRN 40487421"
"4-Chloro-2-methylphenol","1570-64-5","61633","Pesticide degradate","","","","","","NAV"
"4-Chlorobenzylmethyl sulfone","98-57-7","61634","Pesticide degradate","","","","","","NAV; Degradate of thiobencarb CASRN 28249776"
"4-Chlorobenzylmethyl sulfoxide","934-73-6","68514","Pesticide degradate","","","","","","NAV; Degradate of thiobencarb CASRN 28249776"
"4-Hydroxy molinate","66747-12-4","68515","Pesticide degradate","","","","","","NAV; Degradate of molinate CASRN 2212671"
"4-Hydroxychlorothalonil","28343-61-5","68336","Pesticide degradate","","","","","","NAV; Degradate of chlorothalonil CASRN 1897456"
"4-Hydroxyhexazinone A","72576-13-7","68517","Pesticide degradate","","","","","","NAV; Metabolite of hexazinone CASRN 51235042"
"7-Hydroxycarbofuran","1563-38-8","68518","Pesticide degradate","","","","","","NAV; Metabolite of carbofuran CASRN 1563662"
"Acetochlor oxanilic acid","194992-44-4","61030, 68522","Pesticide degradate","","","","","","NAV; Degradate of acetochlor CASRN 34256821"
"Acetochlor sulfinylacetic acid","618113-86-3","62847, 68524","Pesticide degradate","","","","","","NAV; Degradate of acetochlor CASRN 34256821"
