"Chemical Name","CAS Registry Number®a","USGS Parameter Code(s)","Chemical Class","MCL (µg/L) b ","Chronic Noncancer HHBP  (µg/L) c,d ","Carcinogenic HHBP (10-6 to 10-4) (µg/L) c,d ","Noncancer HBSL (µg/L) d,e ","Cancer HBSL (10-6 to 10-4) (µg/L) d,e ","Benchmark Remarks "
"2 (2,4,5-Trichlorophenoxy) Propionic acid","93-72-1","39760, 39762","Pesticide","50","","","","",""
"2,4,5-T","93-76-5","39740, 39742","Pesticide","","","","60","",""
"2,4-D","94-75-7","39730, 39732, 68500, 82697","Pesticide","70","","","","",""
"2,4-D methyl ester","1928-38-7","50470","Pesticide","","","","","","NAV; also see 2,4-D CASRN 94757"
"2,4-DB","94-82-6","38746","Pesticide","","200","","","",""
"Acephate","30560-19-1","68519","Pesticide","","7.7","","","",""
"Acetamiprid","135410-20-7","68302","Pesticide","","450","","","",""
"Acetochlor","34256-82-1","49260, 68520","Pesticide","","100","","","",""
"Acifluorfen","50594-66-6","49315","Pesticide","","","","80","","also see acifluorfen sodium CASRN 62476599"
"Acifluorfen, sodium","62476-59-9","","Pesticide","","","","80","","also see acifluorfen CASRN 5059466"
"Alachlor","15972-60-8","46342, 65064, 77825, 82695","Pesticide","2","","","","",""
"Aldicarb","116-06-3","49312, 68528, 82619","Pesticide","","","","2","","USEPA OW recommends that the concentration of any combination of two or more of the three aldicarb compounds should not be greater than 7 ug/L because of similar mode of action"
"Aldrin","309-00-2","39330, 39331","Pesticide","","","",".2","0.002-0.2",""
"Ametryn","834-12-8","38401, 68533, 82184","Pesticide","","","","500","",""
"Aminocyclopyrachlor","858956-08-8","52651","Pesticide","","17900","","","",""
"Asulam","3337-71-1","68536","Pesticide","","230","","","",""
"Atrazine","1912-24-9","39630, 39632, 50290, 65065, 65150, 99775","Pesticide","3","","","","",""
"Azinphos-methyl","86-50-0","39580, 65066, 82686","Pesticide","","9.6","","","",""
"Azoxystrobin","131860-33-8","66589","Pesticide","","1200","","","",""
"Barban","101-27-9","50298","Pesticide","","","","","","NAV"
"Bendiocarb","22781-23-3","50299","Pesticide","","","","3","",""
"Benfluralin","1861-40-1","82673","Pesticide","","30","","","",""
"Benomyl","17804-35-2","50300","Pesticide","","83","13.4-1340","","",""
"Bensulfuron-methyl","83055-99-6","61676, 61693","Pesticide","","1000","","","",""
"Bentazon","25057-89-0","38711, 68538","Pesticide","","","","1000","",""
"Benzovindiflupyr","1072957-71-1","52652","Pesticide","","","","500","",""
"Bicyclopyrone","352010-68-5","52653","Pesticide","","1.8","","","",""
"Bifenthrin","82657-04-3","61580, 65067","Pesticide","","70","","","","This is the acute or 1-day HHBP (for children); the acute endpoint is protective of longer-term exposures."
