Sample,Site,USGS Site ID,Date,Time,Proposed New Time,Medium Code,Sample Type,Type,Volume (L),Acetamiprid ,Clothianidin ,Dinotefuran ,Imidacloprid ,Thiacloprid ,Thiamethoxam ,imidacloprid-d4 (suurrogate % recovery)
WS3577,"Cuyahoga R. @ Independence, OH",4208000,10/1/2015,15:10,15:15,WS,9,Env,0.94,,,,14.2,,,74
WS3578,Saginaw R @ Saginaw,4157000,10/6/2015,11:02,11:07,WSQ,2,Field Blank,0.77,,,,,,,81.2
WS3579,Saginaw R @ Saginaw,4157000,10/6/2015,11:10,11:15,WS,9,Env,1,,-2.5,,2.6,,,71.1
WS3580,"River Rouge @ Detroit, MI",4166500,9/30/2015,12:40,12:45,WS,9,Env,0.98,,,,5.3,,,70.5
WS3581,"Genessee River @ Ford St, NY",4231600,10/6/2015,14:09,14:14,WSQ,2,Field Blank,0.965,,,,,,,93.7
WS3582,"Genessee River @ Ford St, NY",4231600,10/6/2015,14:30,14:35,WS,9,Env,0.887,,,,,,,78.3
WS3583,Indiana Harbor Canal @ East Chicago,4092750,10/6/2015,12:58,13:03,WSQ,2,Field Blank,0.99,,,,,,,91.4
WS3584,Indiana Harbor Canal @ East Chicago,4092750,10/6/2015,14:00,14:05,WS,9,Env,0.995,,,,-2.4,,,78.4
WS3599,Manitowoc R @ Manitowoc,4085427,10/6/2015,14:40,14:45,WS,9,Env,0.969,,5.3,,,,6.5,81.7
WS3600,Manitowoc R @ Manitowoc,4085427,10/6/2015,14:00,14:05,WSQ,2,Field Blank,0.9,,,,,,,77.5
WS3602,"Maumee R. @ Waterville, OH",4193500,10/13/2015,11:19,11:24,WSQ,2,Field Blank,0.95,,,,,,,107.7
WS3603,"Maumee R. @ Waterville, OH",4193500,10/13/2015,11:20,11:25,WS,9,Env,0.94,,11.9,,5.1,,,71.5
WS3604,"St. Joseph R @ Niles, MI",4101500,10/13/2015,12:15,12:20,WS,9,Env,0.93,,,,,,,76.6
WS3605,"Grand R. nr Eastmanville, MI",4119400,10/14/2015,11:25,11:30,WS,9,Env,0.94,,,,5.2,,,83.8
WS3608,"Bad River nr Odanah, WI",4027000,10/15/2015,11:10,11:15,WS,9,Env,0.94,,,,,,,83.3
