Pesticide compound,USGS Parameter code,Analyte ID,Reporting units,MDL (ng/L),LRL (ng/L),Lab Code,CASRN,Molecular weight,Molecular formula,Analytical use,Chemical class,Analytical method group,Pesticide group,Qualifier code,New USGS analyte,,SMILES
"1H-1,2,4-Triazole ",68498,68498LCM60,ng/L,11,22,9030,116421-29-5,69.1,C2H3N3,Degradate,conazole,fungicide,Propiconazole,E,Yes,,[nH]1cncn1
2-(1-hydroxyethyl)-6-methylaniline (HEMA),68611,68611LCM60,ng/L,47,94,9030,196611-19-5,151.2,C9H13NO,Degradate,chloroacetanilide,acetanilide & amide,Acetochlor/Metolachlor,E,Yes,,CC1=CC=CC(C(C)O)=C1N
2-(2-ethyl-6-methyl-phenyl)aminopropan-1-ol,68595,68595LCM60,ng/L,2,5,9030,61520-53-4,193.3,C12H19NO,Degradate,chloroacetanilide,acetanilide & amide,Metolachlor,A,No,,CC(NC1=C(C)C=CC=C1CC)CO
2-Amino-N-isopropylbenzamide,68503,68503LCM60,ng/L,2,4,9030,30391-89-0,178.2,C10H14N2O,Degradate,"n-heterocycle, thiadiazine degradate",acid,Bentazone,A,No,,CC(C)NC(=O)c1ccccc1N
2-Aminobenzimidazole,68502,68502LCM60,ng/L,4,9,9030,934-32-7,133.2,C7H7N3,Degradate,benzimidazole,fungicide,Benomyl,A,Yes,,Nc1[nH]c2ccccc2n1
"2-Chloro-2,6-diethylacetanilide",68525,68525LCM60,ng/L,2,5,9030,6967-29-9,225.7,C12H16ClNO,Degradate,acetanilide degradate,acetanilide & amide,Alachlor,A,No,,CCc1cccc(CC)c1NC(=O)CCl
2-Chloro-N-(2-ethyl-6-methylphenyl)acetamide,68521,68521LCM60,ng/L,2,5,9030,32428-71-0,211.7,C11H14ClNO,Degradate,chloroacetanilide degradate,acetanilide & amide,Acetochlor/Metolachlor,A,No,,O=C(Nc1c(cccc1CC)C)CCl
2-Hydroxy-4-isopropylamino-6-amino-s-triazine,68659,68659LCM60,ng/L,2,4,9030,19988-24-0,169.2,C6H11N5O,Degradate,triazine,triazine,Atrazine,A,No,,O=C\1/N=C(/N)NC(=N/1)/NC(C)C
2-Hydroxy-6-ethylamino-4-amino-s-triazine,68656,68656LCM60,ng/L,3,6,9030,7313-54-4,155.2,C5H9N5O,Degradate,triazine,triazine,Atrazine,A,No,,CCNC1=NC(=O)N=C(N)N1
2-Hydroxyatrazine,68660,68660LCM60,ng/L,4,8,9030,2163-68-0,197.2,C8H15N5O,Degradate,triazine,triazine,Atrazine,A,No,,CCNC1=NC(=O)N=C(NC(C)C)N1
"2,3,3-trichloroprop-2-ene-1-SA",68691,68691LCM60,ng/L,27,54,9031,65600-62-6,225.5,C3H3Cl3O3S,Degradate,sulfonic acid ester,carbamate & thiocarbamate,Triallate,A,Yes,,Cl/C(CS(=O)(O)=O)=C(Cl)/Cl
"2,4-D",68500,68500LCM60,ng/L,31,62,9031,94-75-7,221,C8H6Cl2O3,Pesticide,chlorophenoxy acid,acid,"2,4-D",A,No,,OC(COc1c(Cl)cc(Cl)cc1)=O
3-Hydroxycarbofuran,68508,68508LCM60,ng/L,8,16,9030,16655-82-6,237.3,C12H15NO4,Degradate,carbamate,carbamate & thiocarbamate,Carbofuran,E,No,,O=C(NC)Oc1c(OC(C)(C)C2O)c2ccc1
3-Ketocarbofuran,68509,68509LCM60,ng/L,88,176,9030,16709-30-1,235.2,C12H13NO4,Degradate,carbamate,carbamate & thiocarbamate,Carbofuran,D,No,,O=C(NC)Oc1c(OC(C)(C)C2=O)c2ccc1
3-Phenoxybenzoic acid,68873,68873LCM60,ng/L,30,61,9031,3739-38-6,213.2,C13H9O3-,Degradate,benzoic acid,pyrethroid & phenylpyrazine,Permethrin,A,Yes,,OC(c1cc(Oc2ccccc2)ccc1)=O
"3,4-Dichlorophenylurea",68226,68226LCM60,ng/L,72,144,9030, 2327-02-8,205,C7H6Cl2N2O,Degradate,urea,sulfonylurea & urea,Diuron,A,No,,NC(=O)Nc1ccc(Cl)c(Cl)c1
4-(Hydroxymethyl)pendimethalin,68511,68511LCM60,ng/L,106,213,9031,56750-76-6,297.3,C13H19N3O5,Degradate,dinitroaniline,miscellaneous,Pendimethalin,A,No,,CCC(Nc1c([N+]([O-])=O)c(C)c(CO)cc1[N+]([O-])=O)CC
4-Chlorobenzylmethyl sulfoxide,68514,68514LCM60,ng/L,2,4,9030,-,188.7,C8H9ClOS,Degradate,thiocarbamate,carbamate & thiocarbamate,thiobencarb,A,Yes,,CS(Cc1ccc(Cl)cc1)=O
4-Hydroxy molinate,68515,68515LCM60,ng/L,3,7,9030,66747-12-4,203.3,C9H17NO2S,Degradate,thiocarbamate,carbamate & thiocarbamate,Molinate,A,Yes,,O=C(N1CCCC(CC1)O)SCC
4-Hydroxy-tert-fluometuron,68619,68619LCM60,ng/L,10,20,9030,cga236431,220.1,C8H7F3N2O2,Degradate,urea,sulfonylurea & urea,Fluometuron,A,Yes,,NC(Nc1cc(C(F)(F)F)c(O)cc1)=O
4-Hydroxychlorothalonil,68336,68336LCM60,ng/L,49,98,9031,28343-61-5,245.9,C8HCl3N2O,Degradate,polychlorinated aromatic degradate,fungicide,Chlorothalonil,A,No,,Oc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N
4-Hydroxyhexazinone A,68517,68517LCM60,ng/L,1,3,9030,72576-13-7,268.3,C12H20N4O3,Degradate,triazine-dione,triazine,Hexazinone,A,Yes,,CN(C)C1=NC(=O)N(C2CCC(O)CC2)C(=O)N1C
7-Hydroxycarbofuran,68518,68518LCM60,ng/L,250,500,9030,1563-38-8,164.2,C10H12O2,Degradate,carbamate,carbamate & thiocarbamate,Carbofuran,D,No,,Oc1c(OC(C)(C)C2)c2ccc1
Acephate,68519,68519LCM60,ng/L,5,10,9030,30560-19-1,183.2,C4H10NO3PS,Pesticide,organophosphate,organophosphate,Acephate,A,Yes,,COP(NC(C)=O)(SC)=O
Acetochlor,68520,68520LCM60,ng/L,5,10,9030,34256-82-1,269.8,C14H20ClNO2,Pesticide,chloroacetanilide,acetanilide & amide,Acetochlor,A,No,,CCOCN(C(=O)CCl)c1c(C)cccc1CC
Acetochlor OA,68522,68522LCM60,ng/L,45,90,9031,194992-44-4,265.3,C14H19NO4,Degradate,acetanilide degradate - oxanilic acid,acetanilide & amide,Acetochlor,A,No,,O=C(N(C1=C(CC)C=CC=C1C)COCC)C(O)=O
Acetochlor SA,68523,68523LCM60,ng/L,50,100,9031,187022-11-3,315.4,C14H21NO5S,Degradate,acetanilide degradate - sulfonic acid,acetanilide & amide,Acetochlor,A,No,,O=S(CC(N(C1=C(CC)C=CC=C1C)COCC)=O)(O)=O
