Sample,Site,Date,Time,Type,Volume (L),Acetamiprid ,Clothianidin ,Dinotefuran ,Imidacloprid ,Thiacloprid ,Thiamethoxam ,imidacloprid-d4 (suurrogate % recovery)
Method Detection Level (MDL); ng/L,,,,,,3.3,3.9,4.5,3.8,3.2,3.4,
October,,,,,,,,,,,,
WS3608,"Bad River nr Odanah, WI",10/15/2015,11:10,Env,0.94,,,,,,,83.3
WS3577,"Cuyahoga R. @ Independence, OH",10/1/2015,15:10,Env,0.94,,,,14.2,,,74
WS3582,"Genessee River @ Ford St, NY",10/6/2015,14:30,Env,0.887,,,,,,,78.3
WS3605,"Grand R. nr Eastmanville, MI",10/14/2015,11:25,Env,0.94,,,,5.2,,,83.8
WS3584,Indiana Harbor Canal @ East Chicago,10/6/2015,14:00,Env,0.995,,,,-2.4,,,78.4
WS3599,Manitowoc R @ Manitowoc,10/6/2015,14:40,Env,0.969,,5.3,,,,6.5,81.7
WS3603,"Maumee R. @ Waterville, OH",10/13/2015,11:20,Env,0.94,,11.9,,5.1,,,71.5
WS3580,"River Rouge @ Detroit, MI",9/30/2015,12:40,Env,0.98,,,,5.3,,,70.5
WS3579,Saginaw R @ Saginaw,10/6/2015,11:10,Env,1,,-2.5,,2.6,,,71.1
WS3604,"St. Joseph R @ Niles, MI",10/13/2015,12:15,Env,0.93,,,,,,,76.6
November,,,,,,,,,,,,
WS3631,"Bad River nr Odanah, WI",11/2/2015,11:00,Env,0.73,,,,,,,80.9
WS3654,"Cuyahoga R. @ Independence, OH",11/5/2015,8:40,Env,0.9,,,,9,,,104.4
WS3653,"Genessee River @ Ford St, NY",11/4/2015,16:20,Env,0.94,,,,,,,105.2
WS3652,"Grand R. nr Eastmanville, MI",11/4/2015,10:30,Env,0.96,,,,4.4,,,94.2
WS3647,Indiana Harbor Canal @ East Chicago,11/3/2015,14:00,Env,0.82,,,,3.8,,,76.6
WS3669,Manitowoc R @ Manitowoc,11/10/2015,14:45,Env,1,,-3.5,,,,-2.4,91.8
WS3655,"Maumee R. @ Waterville, OH",11/4/2015,11:20,Env,0.95,,9.1,,4.5,,,106.4
WS3656,"River Rouge @ Detroit, MI",11/9/2015,13:30,Env,0.92,,,,5.2,,,92.4
WS3670,Saginaw R @ Saginaw,11/12/2015,12:10,Env,0.925,,-2.9,,,,,91.8
WS3651,"St. Joseph R @ Niles, MI",11/3/2015,11:40,Env,0.99,,,,,,,90.6
December,,,,,,,,,,,,
WS3685,"Bad River nr Odanah, WI",12/2/2015,14:00,Env,0.81,,,,,,,107.4
WS3689,"Cuyahoga R. @ Independence, OH",12/2/2015,9:10,Env,0.887,,,,7.9,,,83.2
WS3693,"Genessee River @ Ford St, NY",12/8/2015,10:00,Env,0.986,,,,,,,109.1
WS3686,"Grand R. nr Eastmanville, MI",12/2/2015,11:55,Env,0.875,,,,3.4,,,95.5
WS3690,Indiana Harbor Canal @ East Chicago,12/7/2015,13:30,Env,0.907,,,,,,,106.7
WS3692,Manitowoc R @ Manitowoc,12/7/2015,14:40,Env,0.909,,7.2,,,,5.4,101.4
WS3688,"Maumee R. @ Waterville, OH",12/2/2015,12:20,Env,0.92,,9,,8.2,,-2.7,116.2
WS3691,"River Rouge @ Detroit, MI",12/8/2015,13:10,Env,0.93,,,,,,,96.9
WS3694,"Saginaw R @ Saginaw, MI",12/10/2015,12:10,Env,0.945,,-2.3,,,,,114.1
WS3687,"St. Joseph R @ Niles, MI",12/1/2015,12:10,Env,0.93,,,,,,,115.6
January ,,,,,,,,,,,,
WS3725,"Bad River nr Odanah, WI",1/6/2016,11:00,Env,0.96,,,,,,,98.2
WS3726,"Cuyahoga R. @ Independence, OH",1/6/2016,11:40,Env,0.95,,,,4.6,,5.1,104.6
WS3724,"Genessee River @ Ford St, NY",1/4/2016,15:00,Env,0.875,,,,,,,112.5
WS3752,"Grand R. nr Eastmanville, MI",1/21/2016,10:30,Env,0.94,,6.6,,8,,,76.9
WS3719,Indiana Harbor Canal @ East Chicago,1/5/2016,14:30,Env,1,,,,-2,,,118.5
WS3728,Manitowoc R @ Manitowoc,1/5/2016,15:10,Env,0.98,,6.7,,,,,119.3
WS3727,"Maumee R. @ Waterville, OH",1/7/2016,11:20,Env,0.9,,25.4,,7.3,,-3.3,98.5
